No.,COD DANE DEPTO,DEPARTAMENTO UBICACION DISTRITO,COD DANE MUNICIPIO,MUNICIPIO UBICACION DISTRITO,MUNICIPIOS INFLUENCIA DISTRITO,VEREDA O CORREGIMIENTO,NOMBRE DEL DISTRITO,NOMBRE ASOCIACIÓN DE USUARIOS,NÚMERO ID ASOCIACIÓN,ESCALA DISTRITO,TIPO DE DISTRITO,DISTRITO EN OPERACION (S_N),AREA BRUTA -HA,AREA NETA INICIAL (beneficiada con ADT) - HA,NUMERO FAMILIAS,PRINCIPALES CULTIVOS,CONDICIÓN  JURIDICA DISTRITO,PROPIEDAD,ESTADO DE LA PROPIEDAD,RECURSOS CONSTRUCCIÓN,ADMINISTRADOR,NOMBRE FUENTE HIDRICA,SUBZONA HIDRICA,CAR,CONCESION AGUAS (S_N),NÚMERO CONCESIÓN,CAUDAL CONCESIÓN - LPS,FECHA CONCESIÓN,VIGENCIA CONCESIÓN,LONGITUD,LATITUD,OBSERVACIONES,POLIGONO DE AREA
1,5,ANTIOQUIA,"5,091",BETANIA,BETANIA,EL TABLAZO,EL TABLAZO,ASOTABLAZO,22,Pequeña,Riego,SI,125,125,33,"Café, Tomate, Pepino, Pimentón, Maracuyá, Pan Coger, Fríjol, Maíz, Plátano, Yuca, Banano, Pastos, Cebolla",Privado,Asociación,Entregado,Públicos,Asociación de Usuarios,Río El Pedral,Rio San Juan,CORANTIOQUIA,SI,,,,,76° 1.381' W,5° 44.023' N,Programa Servicios Complementarios 2013.,NO
2,5,ANTIOQUIA,"5,125",CAICEDO,CAICEDO,SAUCES ANACOSCA,ANACOSCA,ASOANACOSCA,3,Pequeña,Riego,NO,200,200,116,"Maracuyá, Café, Plátano, Fríjol, Pastos, Maíz, Pancoger",Privado,Asociación,Entregado,Públicos,Asociación de Usuarios,Quebrada Anacosca,Directos Rio Cauca entre Rio San Juan y Pto Valdia,CORANTIOQUIA,NO,,,,,76° 0.063' W,6° 26.459' N,,NO
3,5,ANTIOQUIA,"5,138",CAÑAS GORDAS,CAÑAS GORDAS,BUENOS AIRES,BUENOS AIRES,ASOBUENOS AIRES,4,Pequeña,Riego,SI,111,111,78,"Café, Fríjol, Maíz, Pasto, Tomate, Plátano",Privado,Asociación,Entregado,Públicos,Asociación de Usuarios,"Quebrada La Mina, Quebrada León",Rio Sucio,CORPOURABA,NO,,,,,75° 59.895' W,6° 43.304' N,Programa Servicios Complementarios 2014.,NO
4,5,ANTIOQUIA,"5,138",CAÑAS GORDAS,CAÑAS GORDAS,EL PASO,MEMBRILLAL,ASOMEMBRILLAL,13,Pequeña,Riego,NO,73,73,23,"Café, Plátano, Cacao, Flores, Hortalizas, Frutales, Mora, Tomate, Cebolla, Cilantro, Perejil, Lechuga Crespa, Espinaca, Col, Mostaza, Ajo, Aromáticas, Ají, Pimentón, Pastos, Granadilla",Público,ADR,Legalizado,Públicos,ADR,"Quebrada El León, Quebrada La Mina, 
Quebrada La Llorona",Rio Sucio,CORPOURABA,SI,,,,,76° 2.785' W,6° 46.502' N,"Programa Servicios Complementarios 2014, El Distrito no opera, construido en el ano 2005, se debe realizar verificacion del diseno hidraulico estudios, bocatoma y tramos de tuberia.",SI
5,5,ANTIOQUIA,"5,190",CISNEROS,CISNEROS,SANTA BÁRBARA,SANTA BÁRBARA,ASOSANTABARBARA,"1,316",Pequeña,Riego,NO,50,50,25,"Maíz, Chócolo, Fríjol, Cacao, Café, Caña, Café, Hortalizas, Frutas, Aguacate, Plátano, Cebolla",Público,ADR,Legalizado,Públicos,ADR,"Quebrada Encanto, Quebrada Guáimara",Rio Nare,CORANTIOQUIA,NO,,,,,75° 4.898' W,6° 33.147' N,"Funciona como acueducto, Se incluyo en acta de Agosto de 2014, Distrito que no opera como riego, estructura de bocatoma averiada y no tiene personeria juridica Informacion DTAD.",NO
6,5,ANTIOQUIA,"5,264",ENTRERRIOS,ENTRERRIOS,EL TORURO,EL TORURO,ASOTORURO,25,Pequeña,Riego,SI,102,102,34,"Pastos, Papa, Frijol, Tomate de Árbol, Mora",Privado,Asociación,Entregado,Públicos,Asociación de Usuarios,"Quebrada La Sierra, Quebrada La Maya",Rio Porce,CORANTIOQUIA,SI,,,,,75° 33.103' W,6° 33.845' N,Programa Servicios Complementarios 2013.,NO
7,5,ANTIOQUIA,"5,306",GIRALDO,GIRALDO,EL TAMBO,EL TAMBO,ASOELTAMBO,30,Pequeña,Riego,SI,40,40,44,"Cebolla, Cilantro, Café Maíz, Alverja, Ajo, Zanahoria, Repollo, Cebolla Junca,",Privado,Asociación,Entregado,Públicos,Asociación de Usuarios,Quebrada El Duende,Directos Rio Cauca entre Rio San Juan y Pto Valdia,CORANTIOQUIA,NO,,,,,75° 56.463' W,6° 41.523' N,Programa Servicios Complementarios 2014.,NO
8,5,ANTIOQUIA,"5,306",GIRALDO,GIRALDO,EL TOYO,EL TOYO,ASOTOYO,"1,211",Pequeña,Riego,SI,27,27,23,"Cebolla, Cilantro, Tomate, Café, Hortalizas, Maíz, Papa, Frijol, Pasto, Plátano, Frutales",Privado,Asociación,Propio,Otros,Asociación de Usuarios,"Quebrada La Higuerina, Quebrada El Duende",Directos Rio Cauca entre Rio San Juan y Pto Valdia,CORANTIOQUIA,NO,,,,,75° 57.680' W,6° 38.830' N,Programa Servicios Complementarios 2014.,NO
9,5,ANTIOQUIA,"5,306",GIRALDO,GIRALDO,TRAVESÍAS,ORTRALOM - TRAVESÍAS,ASORTRALOM,"1,212",Pequeña,Riego,SI,30,30,26,"Cebolla, Café, Cilantro Zanahoria, Tomate",Privado,Asociación,Propio,Otros,Asociación de Usuarios,"Quebrada La Mona, Quebrada El Tambo",Directos Rio Cauca entre Rio San Juan y Pto Valdia,CORANTIOQUIA,NO,,,,,75° 56.962' W,6° 38.918' N,Programa Servicios Complementarios 2014.,NO
10,5,ANTIOQUIA,"5,411",LIBORINA,LIBORINA,PLAYÓN,ENCENILLOS,ASOENCENILLOS,"1,141",Pequeña,Riego,SI,45,45,17,"Pastos, Cebolla, Repollo, Durazno",Público,ADR,Legalizado,Públicos,ADR,Río Bamba,Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia,CORANTIOQUIA,NO,,,,,75° 48.045' W,6° 41.489' N,,SI
