"﻿Punto","Este","Norte"
"1","810501,38","1514354,17"
"2","810505,119","1514349,37"
"3","810506,396","1514348,27"
"4","810506,969","1514347,7"
"5","810507,44","1514347,03"
"6","810507,797","1514346,3"
"7","810508,911","1514343,52"
"8","810509,458","1514343"
"9","810509,539","1514342,91"
"10","810510,105","1514342,29"
"11","810510,707","1514341,66"
"12","810511,183","1514341,09"
"13","810511,567","1514340,44"
"14","810511,85","1514339,75"
"15","810511,954","1514339,45"
"16","810512,458","1514338,94"
"17","810512,879","1514338,36"
"18","810513,207","1514337,72"
"19","810513,436","1514337,04"
"20","810513,755","1514336,72"
"21","810514,396","1514336,12"
"22","810514,817","1514335,67"
"23","810515,384","1514334,98"
"24","810515,819","1514334,51"
"25","810516,12","1514334,36"
"26","810516,201","1514334,32"
"27","810516,329","1514334,3"
"28","810517,033","1514334,17"
"29","810517,713","1514333,95"
"30","810518,354","1514333,64"
"31","810519,224","1514333,12"
"32","810519,838","1514332,75"
"33","810520,477","1514332,46"
"34","810521,313","1514332,07"
"35","810522,145","1514331,71"
"36","810522,974","1514331,35"
"37","810523,771","1514331,03"
"38","810524,573","1514330,73"
"39","810525,362","1514330,45"
"40","810526,204","1514330,18"
"41","810527,054","1514329,92"
"42","810527,847","1514329,7"
"43","810528,631","1514329,51"
"44","810529,437","1514329,34"
"45","810530,288","1514329,19"
"46","810531,173","1514329,05"
"47","810532,168","1514328,91"
"48","810533,195","1514328,75"
"49","810534,192","1514328,59"
"50","810535,18","1514328,43"
"51","810536,16","1514328,27"
"52","810537,135","1514328,12"
"53","810538,165","1514327,96"
"54","810539,195","1514327,78"
"55","810540,183","1514327,6"
"56","810541,03","1514327,38"
"57","810541,82","1514327,01"
"58","810542,534","1514326,51"
"59","810543,15","1514325,89"
"60","810543,65","1514325,18"
"61","810544,018","1514324,39"
"62","810544,244","1514323,55"
"63","810544,32","1514322,68"
"64","810544,268","1514321,96"
"65","810543,107","1514313,94"
"66","810542,963","1514312,94"
"67","810542,897","1514312,48"
"68","810542,873","1514312,33"
"69","810542,647","1514311,49"
"70","810542,279","1514310,7"
"71","810541,779","1514309,99"
"72","810541,162","1514309,37"
"73","810540,449","1514308,87"
"74","810539,659","1514308,5"
"75","810538,817","1514308,28"
"76","810537,949","1514308,2"
"77","810537,263","1514308,25"
"78","810536,834","1514308,31"
"79","810535,839","1514308,46"
"80","810534,88","1514308,6"
"81","810533,912","1514308,73"
"82","810532,921","1514308,86"
"83","810531,93","1514308,99"
"84","810531,694","1514309,03"
"85","810530,628","1514309,24"
"86","810529,602","1514309,45"
"87","810528,653","1514309,65"
"88","810527,919","1514309,8"
"89","810527,244","1514309,88"
"90","810526,414","1514309,94"
"91","810525,547","1514309,99"
"92","810524,678","1514310,02"
"93","810523,809","1514310,04"
"94","810522,962","1514310,03"
"95","810522,117","1514310"
"96","810521,291","1514309,96"
"97","810520,4","1514309,87"
"98","810519,446","1514309,79"
"99","810518,578","1514309,71"
"100","810517,923","1514309,63"
"101","810517,683","1514309,59"
"102","810517,303","1514309,54"
"103","810516,698","1514309,32"
"104","810515,991","1514309,15"
"105","810515,265","1514309,08"
"106","810514,538","1514309,13"
"107","810513,826","1514309,28"
"108","810513,332","1514309,07"
"109","810512,434","1514308,67"
"110","810512,298","1514308,61"
"111","810511,633","1514308,34"
"112","810511,235","1514308,13"
"113","810510,636","1514307,72"
"114","810510,31","1514307,51"
"115","810509,601","1514307,17"
"116","810508,667","1514306,81"
"117","810508,49","1514306,75"
"118","810507,583","1514306,45"
"119","810506,883","1514306,27"
"120","810506,731","1514306,17"
"121","810506,212","1514305,91"
"122","810505,689","1514305,68"
"123","810505,435","1514305,52"
"124","810505,103","1514305,26"
"125","810504,737","1514304,89"
"126","810504,356","1514304,45"
"127","810503,77","1514303,87"
"128","810503,159","1514303,43"
"129","810502,791","1514303,2"
"130","810500,985","1514300,44"
"131","810500,631","1514299,97"
"132","810500,346","1514299,66"
"133","810498,205","1514297,51"
"134","810497,875","1514297,2"
"135","810497,725","1514297,08"
"136","810493,042","1514293,45"
"137","810492,619","1514293,07"
"138","810491,796","1514292,36"
"139","810491,717","1514292,3"
"140","810490,441","1514291,26"
"141","810487,81","1514289,02"
"142","810485,089","1514286,01"
"143","810483,982","1514284,52"
"144","810483,863","1514284,33"
"145","810483,109","1514282,19"
"146","810482,982","1514281,87"
"147","810482,647","1514281,11"
"148","810482,354","1514280,39"
"149","810482,084","1514279,68"
"150","810481,836","1514278,97"
"151","810481,603","1514278,23"
"152","810481,386","1514277,49"
"153","810481,188","1514276,74"
"154","810481,011","1514275,99"
"155","810480,852","1514275,24"
"156","810480,712","1514274,48"
"157","810480,59","1514273,71"
"158","810480,485","1514272,93"
"159","810480,398","1514272,16"
"160","810480,331","1514271,39"
"161","810480,283","1514270,62"
"162","810480,255","1514269,85"
"163","810480,246","1514269,08"
"164","810480,257","1514268,31"
"165","810480,287","1514267,54"
"166","810480,336","1514266,76"
"167","810480,383","1514266,22"
"168","810480,401","1514266,02"
"169","810480,492","1514265,23"
"170","810480,599","1514264,47"
"171","810480,745","1514263,59"
"172","810480,91","1514262,61"
"173","810481,076","1514261,62"
"174","810481,242","1514260,64"
"175","810481,408","1514259,65"
"176","810481,574","1514258,67"
"177","810481,733","1514257,72"
"178","810481,908","1514256,77"
"179","810482,093","1514255,77"
"180","810482,114","1514255,64"
"181","810482,266","1514254,65"
"182","810482,417","1514253,66"
"183","810482,567","1514252,67"
"184","810482,718","1514251,68"
"185","810482,867","1514250,69"
"186","810483,017","1514249,71"
"187","810483,17","1514248,73"
"188","810483,324","1514247,75"
"189","810483,479","1514246,76"
"190","810483,633","1514245,77"
"191","810483,787","1514244,78"
"192","810483,914","1514243,96"
"193","810484,006","1514243,77"
"194","810484,236","1514242,9"
"195","810485,854","1514233"
"196","810487,479","1514223,15"
"197","810489,148","1514213,32"
"198","810490,903","1514203,51"
"199","810492,702","1514193,67"
"200","810494,476","1514183,81"
"201","810494,491","1514183,73"
"202","810496,067","1514173,85"
"203","810496,084","1514173,73"
"204","810497,42","1514163,88"
"205","810498,96","1514154,08"
"206","810500,67","1514144,23"
"207","810502,209","1514134,29"
"208","810502,336","1514133,44"
"209","810503,322","1514127,43"
"210","810503,847","1514124,51"
"211","810505,479","1514114,52"
"212","810505,764","1514112,66"
"213","810507,114","1514104,57"
"214","810508,158","1514097,78"
"215","810508,626","1514094,54"
"216","810510,306","1514084,56"
"217","810510,362","1514084,1"
"218","810511,108","1514074,01"
"219","810512,279","1514063,94"
"220","810512,298","1514063,74"
"221","810512,366","1514062,84"
"222","810512,374","1514062,71"
"223","810512,836","1514053,38"
"224","810513,48","1514043,16"
"225","810513,489","1514042,91"
"226","810513,626","1514032,61"
"227","810513,55","1514031,71"
"228","810513,523","1514031,56"
