"","TIPO_REG","PAIS","P_DEPTO","P_MUNIC","UC_UO","ENCUESTA","COD_VEREDA","P_S8_NUMPEZDUL","P_S8P1141","P_S8P1151","P_S8P115A1","P_S8P1161","P_S8P116A1","P_S8_NUMPEZSAL","P_S8P1142","P_S8P1152","P_S8P115A2","P_S8P1162","P_S8P116A2"
"1",8,170,20,20001,"00000000","003532828",20001002,1,41229900,0,0,0,0,NA,NA,NA,0,NA,0
"2",8,170,20,20001,"00000000","003532829",20001002,1,41229900,0,0,0,0,NA,NA,NA,0,NA,0
"3",8,170,20,20001,"00000000","003532832",20001002,1,41229900,0,0,0,0,NA,NA,NA,0,NA,0
"4",8,170,20,20001,"00000000","003532833",20001002,1,41229900,0,0,0,0,NA,NA,NA,0,NA,0
"5",8,170,20,20001,"00000000","003532971",20001002,1,41229900,0,0,0,0,NA,NA,NA,0,NA,0
"6",8,170,20,20001,"00000000","003532980",20001002,1,41229900,0,0,0,0,NA,NA,NA,0,NA,0
"7",8,170,20,20001,"00150001","000627234",20001005,1,41190600,25,1,16,1,0,NA,0,0,0,0
"8",8,170,20,20001,"00410001","000624837",20001009,1,41190100,1200,1,750,1,0,NA,0,0,0,0
"9",8,170,20,20001,"00480001","000100297",20001009,1,41190600,0,0,50,1,0,NA,0,0,0,0
"10",8,170,20,20001,"00720001","000100070",20001001,1,41190300,200,1,200,1,0,NA,0,0,0,0
"11",8,170,20,20001,"01070001","000100293",20001009,1,41190600,50,1,50,1,0,NA,0,0,0,0
"12",8,170,20,20001,"01150001","000626828",20001010,1,41190600,1,1,4.5,1,0,NA,0,0,0,0
"13",8,170,20,20001,"01710001","000627164",20001004,1,41190100,100,1,100,1,1,NA,NA,NA,NA,NA
"14",8,170,20,20001,"03410001","000623269",20001011,1,41190100,20,1,20,1,0,NA,0,0,0,0
"15",8,170,20,20001,"03870001","000100133",20001011,1,41120199,10,1,0,0,0,NA,0,0,0,0
"16",8,170,20,20001,"05020001","000623575",20570001,1,41190100,20,1,25,1,0,NA,0,0,0,0
"17",8,170,20,20001,"06760001","000100613",20001009,1,41190600,5000,1,4000,1,0,NA,0,0,0,0
"18",8,170,20,20001,"07070001","000099485",20001004,1,41190600,20,1,60,1,0,NA,0,0,0,0
"19",8,170,20,20001,"08910001","000625105",20001001,1,41190300,25,1,0,0,0,NA,0,0,0,0
"20",8,170,20,20001,"11900000","003503367",20001000,1,41229900,0,0,0,0,NA,NA,NA,0,NA,0
"21",8,170,20,20001,"11900000","003532817",20001000,1,41229900,15.6,1,21.6,1,NA,NA,NA,0,NA,0
"22",8,170,20,20001,"11900000","003532819",20001000,1,41229900,3.6,1,3.6,1,NA,NA,NA,0,NA,0
"23",8,170,20,20001,"12980000","003283973",20001006,1,41120101,20,1,20,1,NA,NA,NA,0,NA,0
"24",8,170,20,20001,"12980000","003283973",20001006,2,41220300,40,1,30,1,NA,NA,NA,0,NA,0
"25",8,170,20,20001,"12980000","003283973",20001006,3,41190600,10,1,10,1,NA,NA,NA,0,NA,0
"26",8,170,20,20001,"12980000","003283973",20001006,4,41999993,20,1,10,1,NA,NA,NA,0,NA,0
"27",8,170,20,20001,"16690000","003473270",20001999,1,41120199,10,1,10,1,NA,NA,NA,0,NA,0
"28",8,170,20,20001,"16690000","003473421",20001999,1,41229900,50,1,50,1,NA,NA,NA,0,NA,0
"29",8,170,20,20001,"16690000","003473448",20001999,1,41229900,30,1,0,0,NA,NA,NA,0,NA,0
"30",8,170,20,20001,"16690000","003473476",20001999,1,41229900,60,1,0,0,NA,NA,NA,0,NA,0
"31",8,170,20,20001,"16690000","003484039",20001999,1,41220300,30,1,0,0,NA,NA,NA,0,NA,0
"32",8,170,20,20001,"16690000","003484411",20001999,1,41229900,0,0,0,0,NA,NA,NA,0,NA,0
"33",8,170,20,20001,"16690000","003485290",20001999,1,41190400,20,1,20,1,NA,NA,NA,0,NA,0
"34",8,170,20,20001,"16690000","003485599",20001999,1,41220300,0,0,0,0,NA,NA,NA,0,NA,0
"35",8,170,20,20001,"16690000","003487278",20001999,1,41190300,0,0,0,0,NA,NA,NA,0,NA,0
"36",8,170,20,20001,"16690000","003488886",20001999,1,41220700,5,1,5,1,NA,NA,NA,0,NA,0
"37",8,170,20,20001,"16690000","003488886",20001999,2,42129900,3,1,3,1,NA,NA,NA,0,NA,0
"38",8,170,20,20001,"16690000","003488886",20001999,3,41229900,4,1,4,1,NA,NA,NA,0,NA,0
"39",8,170,20,20001,"16690000","003502938",20001999,NA,41190300,500,1,0,0,1,NA,NA,NA,NA,NA
"40",8,170,20,20001,"16690000","003510133",20001999,1,41190400,40,1,40,1,NA,NA,NA,0,NA,0
"41",8,170,20,20001,"16690000","003510233",20001999,1,41229900,10,1,0,0,NA,NA,NA,0,NA,0
"42",8,170,20,20001,"16690000","003510250",20001999,1,41229900,10,1,0,0,NA,NA,NA,0,NA,0
"43",8,170,20,20001,"21900001","000099749",20001012,1,41190600,300,1,250,1,0,NA,0,0,0,0
"44",8,170,20,20011,"00010000","088001710",20011002,18,41229900,0,0,0,0,NA,NA,NA,0,NA,0
