DIVIPOLA,DEPARTAMENTO,MUNICIPIO,CÓDIGO VEREDA,NOMBRE VEREDA,UP,UPA,UPNA,VIVIENDAS,HOGARES,PERSONAS,PRODUCTORES RESIDENTES
23162,Cordoba,Cereté,23001002,AGUAS NEGRAS,1,1,0,0,0,0,0
23162,Cordoba,Cereté,23001006,ARENAL,1,0,1,3,3,8,0
23162,Cordoba,Cereté,23001101,MARRALU,1,1,0,1,1,4,0
23162,Cordoba,Cereté,23162001,CORREGIMIENTO CUERO CURTIDO,178,164,14,133,137,519,90
23162,Cordoba,Cereté,23162002,CORREGIMIENTO DE MANGUELITO,1296,658,638,1115,1202,4798,278
23162,Cordoba,Cereté,23162003,CORREGIMIENTO DE RABOLARGO,545,196,349,436,465,1664,42
23162,Cordoba,Cereté,23162004,CORREGIMIENTO DE SEVERA,331,194,137,280,298,1109,104
23162,Cordoba,Cereté,23162005,CORREGIMIENTO LOS VENADOS CAMPANITO,296,204,92,192,205,648,63
23162,Cordoba,Cereté,23162006,CORREGIMIENTO MARTINEZ,693,426,267,506,535,1910,95
23162,Cordoba,Cereté,23162007,CORREGIMIENTO MATEO GOMEZ,1065,530,535,659,681,2389,123
23162,Cordoba,Cereté,23162008,CORREGIMIENTO TRES MARIAS,131,115,16,77,80,346,48
23162,Cordoba,Cereté,23162999,EXPANSION URBANA,3031,343,2688,1946,2058,7857,128
23162,Cordoba,Cereté,23189002,PUNTA VERDE,2,1,1,0,0,0,0
23162,Cordoba,Cereté,23678005,EL HATO,5,5,0,6,6,25,1
23162,Cordoba,Cereté,23678006,SANTA ROSA,45,41,4,27,32,113,9
23162,Cordoba,Cereté,23686011,EL PANTANO,2,2,0,1,1,3,1
23162,Cordoba,Cereté,23686012,GUAMA ARRIBA,6,4,2,2,3,13,1
23162,Cordoba,Cereté,23686013,SAN JACINTO,20,19,1,7,7,18,5
23162,Cordoba,Cereté,23686014,ABANICO,1,1,0,1,1,5,0
23168,Cordoba,Chimá,23168000,CABECERA,339,314,25,51,51,152,15
23168,Cordoba,Chimá,23168001,ARACHE,402,400,2,30,30,94,15
23168,Cordoba,Chimá,23168002,BURRO MUERTO,3,3,0,2,2,2,0
23168,Cordoba,Chimá,23168003,CAMPO BELLO,228,225,3,92,93,315,54
23168,Cordoba,Chimá,23168004,CAROLINA,8,8,0,3,3,3,0
23168,Cordoba,Chimá,23168005,COROZALITO,299,287,12,46,46,76,22
23168,Cordoba,Chimá,23168006,GUAYACAN,66,56,10,45,48,178,13
23168,Cordoba,Chimá,23168007,ISLA DE LOS PEREZ,2,2,0,0,0,0,0
23168,Cordoba,Chimá,23168008,MALEMBA,22,22,0,15,15,60,11
23168,Cordoba,Chimá,23168009,PIMENTAL,1,1,0,1,1,3,0
23168,Cordoba,Chimá,23168010,PUNTA VERDE,6,6,0,0,0,0,0
23168,Cordoba,Chimá,23168011,ROSA VIEJA,170,169,1,43,43,173,29
23168,Cordoba,Chimá,23168012,SABANA COSTA,97,11,86,11,11,31,3
23168,Cordoba,Chimá,23168013,SANTERO,68,60,8,24,24,98,0
23168,Cordoba,Chimá,23168014,SITIO VIEJO,636,605,31,164,164,540,110
23168,Cordoba,Chimá,23168015,TAMBOR,73,62,11,42,44,165,16
23168,Cordoba,Chimá,23168999,EXPANSION URBANA,96,33,63,22,22,91,4
23168,Cordoba,Chimá,23189002,PUNTA VERDE,1,1,0,0,0,0,0
23168,Cordoba,Chimá,23464006,SIN DEFINIR,2,2,0,1,1,2,0
23168,Cordoba,Chimá,23670001,SIN DEFINIR,2,2,0,2,2,7,1
23168,Cordoba,Chimá,23670005,EL BANCO,1,1,0,1,1,3,0
23168,Cordoba,Chimá,23670009,GUAYACANES,9,9,0,6,6,16,1
23168,Cordoba,Chimá,23686008,LOS BORRACHOS,4,4,0,0,0,0,0
23168,Cordoba,Chimá,23815005,CARRETALES,1,1,0,0,0,0,0
23189,Cordoba,Ciénaga De Oro,23168005,COROZALITO,8,8,0,4,4,15,3
23189,Cordoba,Ciénaga De Oro,23189001,EL CASCAJAL,388,322,66,264,275,998,175
23189,Cordoba,Ciénaga De Oro,23189002,PUNTA VERDE,990,624,366,758,837,3288,294
23189,Cordoba,Ciénaga De Oro,23189003,EL GUAIMARO,1144,705,439,841,918,3416,366
23189,Cordoba,Ciénaga De Oro,23189004,EGIPTO,837,618,219,654,700,2662,302
23189,Cordoba,Ciénaga De Oro,23189005,LAS PALMAS,714,450,264,468,504,1891,190
23189,Cordoba,Ciénaga De Oro,23189006,PUNATA YANES,916,558,358,701,728,2834,272
23189,Cordoba,Ciénaga De Oro,23189999,EXPANSION URBANA,124,27,97,89,93,347,15
23189,Cordoba,Ciénaga De Oro,23570005,EL CAMPANO,3,3,0,4,4,13,3
23189,Cordoba,Ciénaga De Oro,23660003,VEREDA ARENAS DEL NORTE,1,1,0,0,0,0,0
