DIVIPOLA,DEPARTAMENTO,MUNICIPIO,CÓDIGO VEREDA,NOMBRE VEREDA,UP,UPA,UPNA,VIVIENDAS,HOGARES,PERSONAS,PRODUCTORES RESIDENTES
23001,Cordoba,Montería,05051006,BUENOS AIRES,2,2,0,1,1,1,1
23001,Cordoba,Montería,05051041,LAS PARCELAS,3,3,0,3,3,9,2
23001,Cordoba,Montería,05665045,SAN ANTONIO,1,1,0,0,0,0,0
23001,Cordoba,Montería,05665059,ZAPINDONGA ARRIBA,2,2,0,1,1,2,0
23001,Cordoba,Montería,23001001,AGUAS BLANCAS,22,16,6,15,15,49,4
23001,Cordoba,Montería,23001002,AGUAS NEGRAS,190,87,103,79,79,260,17
23001,Cordoba,Montería,23001003,AGUAS PRIETAS,55,44,11,31,31,109,33
23001,Cordoba,Montería,23001004,AGUAS VIVAS,202,103,99,127,127,333,28
23001,Cordoba,Montería,23001005,ALTO ROSARIO,24,19,5,15,15,42,3
23001,Cordoba,Montería,23001006,ARENAL,66,2,64,4,4,13,0
23001,Cordoba,Montería,23001007,ARROYON,90,90,0,0,0,0,0
23001,Cordoba,Montería,23001008,BETULIA,64,56,8,40,40,62,9
23001,Cordoba,Montería,23001009,BIJAGUAL,74,49,25,58,60,139,4
23001,Cordoba,Montería,23001010,BAJAGUAL,54,24,30,9,10,28,1
23001,Cordoba,Montería,23001011,BOCA DE LA BALSA,47,47,0,31,31,103,26
23001,Cordoba,Montería,23001012,BROQUELITO,30,5,25,36,39,133,0
23001,Cordoba,Montería,23001013,BUENA VISTA,62,25,37,31,31,74,15
23001,Cordoba,Montería,23001014,BUENAVEBTURA,45,7,38,2,2,2,0
23001,Cordoba,Montería,23001015,BUENOS AIRES,62,49,13,52,53,111,8
23001,Cordoba,Montería,23001016,CALLE BARRIDA,70,32,38,39,39,128,13
23001,Cordoba,Montería,23001017,CAÑA FLECHA,3,2,1,1,1,3,1
23001,Cordoba,Montería,23001018,CAÑO VIEJO,125,83,42,71,75,179,24
