DPMP,ÁREA GEOGRÁFICA,Hombres_0,Hombres_1,Hombres_2,Hombres_3,Hombres_4,Hombres_5,Hombres_6,Hombres_7,Hombres_8,Hombres_9,Hombres_10,Hombres_11,Hombres_12,Hombres_13,Hombres_14,Hombres_15,Hombres_16,Hombres_17,Hombres_18,Hombres_19,Hombres_20,Hombres_21,Hombres_22,Hombres_23,Hombres_24,Hombres_25,Hombres_26,Hombres_27,Hombres_28,Hombres_29,Hombres_30,Hombres_31,Hombres_32,Hombres_33,Hombres_34,Hombres_35,Hombres_36,Hombres_37,Hombres_38,Hombres_39,Hombres_40,Hombres_41,Hombres_42,Hombres_43,Hombres_44,Hombres_45,Hombres_46,Hombres_47,Hombres_48,Hombres_49,Hombres_50,Hombres_51,Hombres_52,Hombres_53,Hombres_54,Hombres_55,Hombres_56,Hombres_57,Hombres_58,Hombres_59,Hombres_60,Hombres_61,Hombres_62,Hombres_63,Hombres_64,Hombres_65,Hombres_66,Hombres_67,Hombres_68,Hombres_69,Hombres_70,Hombres_71,Hombres_72,Hombres_73,Hombres_74,Hombres_75,Hombres_76,Hombres_77,Hombres_78,Hombres_79,Hombres_80,Hombres_81,Hombres_82,Hombres_83,Hombres_84,Hombres_85 y más,Mujeres_0,Mujeres_1,Mujeres_2,Mujeres_3,Mujeres_4,Mujeres_5,Mujeres_6,Mujeres_7,Mujeres_8,Mujeres_9,Mujeres_10,Mujeres_11,Mujeres_12,Mujeres_13,Mujeres_14,Mujeres_15,Mujeres_16,Mujeres_17,Mujeres_18,Mujeres_19,Mujeres_20,Mujeres_21,Mujeres_22,Mujeres_23,Mujeres_24,Mujeres_25,Mujeres_26,Mujeres_27,Mujeres_28,Mujeres_29,Mujeres_30,Mujeres_31,Mujeres_32,Mujeres_33,Mujeres_34,Mujeres_35,Mujeres_36,Mujeres_37,Mujeres_38,Mujeres_39,Mujeres_40,Mujeres_41,Mujeres_42,Mujeres_43,Mujeres_44,Mujeres_45,Mujeres_46,Mujeres_47,Mujeres_48,Mujeres_49,Mujeres_50,Mujeres_51,Mujeres_52,Mujeres_53,Mujeres_54,Mujeres_55,Mujeres_56,Mujeres_57,Mujeres_58,Mujeres_59,Mujeres_60,Mujeres_61,Mujeres_62,Mujeres_63,Mujeres_64,Mujeres_65,Mujeres_66,Mujeres_67,Mujeres_68,Mujeres_69,Mujeres_70,Mujeres_71,Mujeres_72,Mujeres_73,Mujeres_74,Mujeres_75,Mujeres_76,Mujeres_77,Mujeres_78,Mujeres_79,Mujeres_80,Mujeres_81,Mujeres_82,Mujeres_83,Mujeres_84,Mujeres_85 y más
Chimá,Cabecera Municipal,22,22,23,24,24,25,26,26,26,27,27,28,28,29,28,29,30,30,30,31,31,30,30,31,29,30,30,31,31,29,29,29,29,29,29,29,28,27,27,27,25,24,23,22,21,21,21,20,20,21,20,22,24,24,24,24,25,24,25,22,23,22,19,18,18,18,15,14,12,12,11,10,8,9,7,8,7,8,8,5,6,4,4,6,4,24,18,19,19,21,22,22,23,23,25,25,26,26,28,28,29,29,29,30,29,31,30,30,31,29,31,30,27,29,29,29,27,29,26,26,26,25,26,26,25,26,25,25,26,25,26,26,25,26,26,26,25,27,27,26,25,27,25,24,22,23,24,21,20,20,19,15,15,15,12,11,11,9,9,8,9,8,8,9,10,7,8,8,6,6,6,33
Chimá,Centros Poblados y Rural Disperso,104,103,105,110,111,116,116,118,118,119,119,120,121,121,121,122,121,121,120,120,119,119,119,116,114,111,105,104,100,98,98,95,94,92,93,94,95,96,98,101,104,103,104,104,103,100,100,100,98,97,98,99,98,98,97,95,95,93,90,88,84,80,77,74,73,70,66,63,60,58,55,54,50,50,46,46,46,43,41,38,35,30,27,24,20,112,96,95,98,101,104,107,109,111,114,115,117,119,119,120,119,118,118,117,113,111,109,107,103,100,99,96,94,93,93,95,95,95,94,95,94,94,92,93,93,94,97,96,97,96,95,93,96,95,92,93,91,93,92,90,89,88,84,82,80,80,80,77,75,70,66,66,62,59,57,50,48,45,44,42,44,45,42,43,40,38,32,33,28,23,21,118
Cotorra,Cabecera Municipal,35,34,36,39,39,41,43,45,47,47,49,49,51,52,53,53,53,52,52,52,51,51,50,48,48,48,46,46,47,45,45,44,43,43,40,41,39,39,39,39,38,39,37,37,37,36,36,36,35,34,35,35,37,35,36,35,36,35,36,35,33,32,30,29,28,28,25,25,23,21,19,18,18,17,16,16,14,14,14,11,10,8,8,7,5,29,33,33,35,37,37,39,39,39,40,40,41,42,42,43,44,46,46,48,49,50,50,51,52,51,51,52,49,50,48,48,46,43,43,40,41,40,42,40,43,43,43,45,46,46,47,49,47,46,46,44,44,44,44,43,42,42,39,39,38,38,35,34,30,30,29,28,28,26,24,22,22,21,20,19,19,18,16,17,15,14,12,11,9,7,8,43
Cotorra,Centros Poblados y Rural Disperso,114,113,115,118,119,120,119,119,117,116,115,114,113,112,112,112,113,112,114,115,114,114,114,114,111,109,106,103,102,101,100,99,95,93,89,89,86,86,88,88,91,92,94,94,93,93,93,93,91,89,87,87,85,84,83,81,79,75,74,73,69,68,65,62,58,57,55,50,49,43,43,38,37,37,35,34,33,30,29,27,24,21,20,17,14,91,92,92,95,97,98,98,100,100,101,102,103,105,104,106,108,110,111,113,116,118,119,119,116,116,116,115,110,107,104,102,101,99,99,98,95,95,96,95,96,98,99,101,101,98,96,94,90,88,84,83,82,81,80,79,76,77,74,72,70,69,64,63,60,58,57,55,55,53,50,47,47,45,41,40,37,36,33,32,30,26,23,22,20,20,17,116
Lorica,Cabecera Municipal,383,388,404,426,431,448,452,456,458,462,462,463,466,465,465,466,465,462,459,457,455,454,451,447,442,438,434,429,424,420,412,399,386,373,361,353,348,342,336,329,324,321,313,309,303,296,287,282,277,274,272,269,269,267,264,260,256,253,245,238,230,220,210,198,190,178,167,157,144,131,117,105,96,88,83,77,74,68,61,55,50,46,41,37,34,207,368,373,389,411,419,429,436,441,447,451,456,460,464,468,471,474,477,478,479,479,478,480,480,478,474,471,468,466,464,461,453,444,437,431,426,422,418,415,411,405,401,394,387,380,372,367,359,354,348,343,338,337,336,331,325,319,312,302,296,289,279,268,255,245,235,224,211,199,185,169,155,142,132,127,120,116,110,106,97,91,82,76,69,61,56,359
Lorica,Centros Poblados y Rural Disperso,475,470,482,497,498,510,508,508,506,505,504,502,500,499,498,497,495,496,495,493,488,485,480,471,463,453,444,436,428,423,415,407,398,391,382,376,372,374,380,387,394,403,412,416,416,416,416,415,410,406,405,405,403,399,394,385,375,364,355,346,333,323,308,295,286,278,269,258,247,231,218,204,193,184,177,169,162,153,141,131,119,108,97,88,78,512,478,474,485,499,497,500,496,492,488,485,480,476,472,469,466,463,463,460,458,455,454,452,449,445,441,437,430,426,424,421,415,410,404,399,392,389,390,390,395,402,408,416,420,421,417,412,403,396,390,386,383,383,379,372,367,361,355,349,343,334,323,314,302,294,285,276,263,254,239,227,216,206,194,185,176,170,161,152,142,132,122,110,100,92,82,511
Momil,Cabecera Municipal,76,77,80,86,88,93,95,97,100,101,104,106,108,109,110,111,111,111,110,108,106,104,101,99,96,91,88,85,83,82,79,76,73,71,68,68,65,65,66,67,68,70,71,73,75,76,79,78,78,78,78,78,77,77,75,73,70,69,66,63,61,57,53,52,49,47,47,44,42,40,37,35,34,32,31,30,26,25,23,19,17,15,12,12,10,60,68,69,72,76,79,82,86,88,91,93,97,98,102,104,106,109,110,112,112,112,110,108,106,102,102,101,98,96,94,92,89,87,85,84,82,79,78,77,76,76,75,76,78,80,80,81,82,81,82,81,82,80,79,76,72,70,65,63,60,60,57,56,55,55,53,53,52,49,48,46,42,39,36,36,33,30,29,29,25,23,19,18,16,13,14,83
Momil,Centros Poblados y Rural Disperso,68,66,68,71,70,72,70,71,69,70,69,69,68,68,67,68,68,69,69,69,71,70,71,70,71,72,73,72,70,68,65,64,62,56,56,53,50,50,51,51,52,51,54,52,55,54,53,53,53,54,55,55,55,53,52,52,53,50,50,49,45,43,41,41,39,37,37,33,33,32,29,27,26,24,22,20,22,20,18,15,14,13,12,10,9,58,70,69,71,73,74,75,75,76,76,76,76,76,75,76,74,73,73,71,70,71,69,70,69,70,72,70,69,67,67,65,64,62,59,55,52,51,48,46,48,47,47,49,49,52,51,51,53,52,51,52,51,51,50,48,47,44,43,42,38,38,37,35,35,34,32,33,31,31,31,28,28,26,24,23,20,20,16,18,14,14,12,10,11,11,10,76
Purísima de La Concepción,Cabecera Municipal,47,47,49,52,53,55,55,56,58,58,59,60,60,61,62,61,62,62,61,61,59,56,57,54,56,55,56,55,55,54,52,51,49,48,47,44,42,43,41,41,41,42,41,43,41,42,42,43,43,44,43,43,44,44,43,44,41,41,39,38,37,33,32,31,28,28,27,25,24,22,20,19,18,19,17,17,19,16,17,15,13,13,12,10,9,43,42,42,44,46,48,50,52,53,53,56,57,58,58,59,60,61,60,60,60,58,59,57,58,56,56,55,55,54,52,53,52,51,52,50,49,50,50,48,50,49,50,49,49,50,51,50,51,51,48,49,49,48,45,46,44,42,42,40,41,40,40,40,39,38,37,36,35,33,30,29,26,24,24,23,23,22,23,20,21,19,17,15,15,13,12,61
Purísima de La Concepción,Centros Poblados y Rural Disperso,106,104,106,109,109,109,108,108,104,103,102,100,99,98,98,97,97,96,97,97,95,94,92,93,92,89,89,87,86,84,82,78,77,74,70,71,69,69,70,70,71,73,73,74,73,70,69,67,66,64,63,61,58,55,55,52,49,48,46,44,43,42,40,42,39,38,38,38,37,36,33,32,30,29,29,28,28,26,24,22,22,19,17,16,12,78,94,94,95,97,98,97,95,94,91,91,88,88,86,86,85,85,85,86,87,85,88,88,89,90,90,89,88,86,83,83,81,78,78,75,72,70,69,67,68,69,71,69,69,66,66,63,62,60,57,56,54,53,51,50,48,47,44,43,44,43,43,39,38,37,38,39,38,37,36,36,33,33,31,29,27,26,26,25,22,21,18,16,15,12,13,69
