DEPARTAMENTO,MUNICIPIO,CODIGO MUNICIPIO,BUCERRAS < 1 AÑO,BUCERROS < 1 AÑO,HEMBRAS 1 - 2 AÑOS,MACHOS 1 - 2 AÑOS,HEMBRAS 2 - 3 AÑOS,MACHOS 2 - 3 AÑOS,HEMBRAS > 3 AÑOS,MACHOS > 3 AÑOS,TOTAL BUFALOS - 2022, No DE FINCAS 1 A 50, No DE FINCAS 51 A 100, No DE FINCAS 101 A 500, No DE FINCAS 501 O MAS,TOTAL FINCAS CON BUFALOS - 2022
ANTIOQUIA,MEDELLIN,5001,0,0,0,0,0,0,4,1,5,3,0,0,0,3
ANTIOQUIA,ABEJORRAL,5002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTIOQUIA,ABRIAQUI,5004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTIOQUIA,ALEJANDRIA,5021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTIOQUIA,AMAGA,5030,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTIOQUIA,AMALFI,5031,10,44,3,0,10,11,9,1,88,1,1,0,0,2
ANTIOQUIA,ANDES,5034,12,17,5,25,20,0,28,1,108,1,1,0,0,2
ANTIOQUIA,ANGELOPOLIS,5036,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTIOQUIA,ANGOSTURA,5038,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTIOQUIA,ANORI,5040,0,5,0,1,5,0,5,2,18,2,0,0,0,2
ANTIOQUIA,SANTA FE DE ANTIOQUIA,5042,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTIOQUIA,ANZA,5044,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTIOQUIA,APARTADO,5045,32,13,32,34,16,16,78,2,223,2,0,2,0,4
ANTIOQUIA,ARBOLETES,5051,10,16,12,22,11,73,50,11,205,4,0,1,0,5
ANTIOQUIA,ARGELIA,5055,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTIOQUIA,ARMENIA,5059,0,0,2,2,0,1,1,0,6,1,0,0,0,1
ANTIOQUIA,BARBOSA,5079,97,100,2,8,12,0,0,0,219,0,0,1,0,1
ANTIOQUIA,BELMIRA,5086,2,1,0,1,2,0,1,0,7,1,0,0,0,1
ANTIOQUIA,BELLO,5088,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTIOQUIA,BETANIA,5091,1,0,0,2,1,4,1,0,9,1,0,0,0,1
ANTIOQUIA,BETULIA,5093,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTIOQUIA,CIUDAD BOLIVAR,5101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTIOQUIA,BRICEÑO,5107,1,1,0,0,0,2,0,1,5,2,0,0,0,2
ANTIOQUIA,BURITICA,5113,2,1,0,0,0,0,3,0,6,1,0,0,0,1
ANTIOQUIA,CACERES,5120,586,632,481,146,635,323,1489,49,4341,4,5,9,2,20
ANTIOQUIA,CAICEDO,5125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTIOQUIA,CALDAS,5129,0,0,0,0,1,0,0,0,1,1,0,0,0,1
ANTIOQUIA,CAMPAMENTO,5134,0,0,0,0,0,1,0,0,1,1,0,0,0,1
ANTIOQUIA,CAÑASGORDAS,5138,0,0,0,0,1,2,0,1,4,1,0,0,0,1
ANTIOQUIA,CARACOLI,5142,47,52,52,20,13,0,171,2,357,0,0,1,0,1
ANTIOQUIA,CARAMANTA,5145,0,0,0,0,0,15,0,0,15,1,0,0,0,1
ANTIOQUIA,CAREPA,5147,47,174,79,134,61,91,362,19,967,5,1,4,0,10
ANTIOQUIA,EL CARMEN DE VIBORAL,5148,0,0,0,0,0,0,0,2,2,1,0,0,0,1
ANTIOQUIA,CAROLINA,5150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTIOQUIA,CAUCASIA,5154,805,628,1768,849,952,893,2068,263,8226,16,5,18,5,44
ANTIOQUIA,CHIGORODO,5172,838,925,540,365,359,267,2353,92,5739,11,6,2,4,23
ANTIOQUIA,CISNEROS,5190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTIOQUIA,COCORNA,5197,0,0,14,11,0,0,0,0,25,2,0,0,0,2
ANTIOQUIA,CONCEPCION,5206,0,0,0,0,0,2,0,0,2,1,0,0,0,1
ANTIOQUIA,CONCORDIA,5209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTIOQUIA,COPACABANA,5212,0,0,23,1,7,0,0,1,32,3,0,0,0,3
ANTIOQUIA,DABEIBA,5234,1,1,16,3,3,3,10,1,38,7,0,0,0,7
ANTIOQUIA,DONMATIAS,5237,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTIOQUIA,EBEJICO,5240,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTIOQUIA,EL BAGRE,5250,113,72,62,36,63,0,223,10,579,4,3,2,0,9
ANTIOQUIA,ENTRERRIOS,5264,4,15,8,0,4,18,0,0,49,2,0,0,0,2
ANTIOQUIA,ENVIGADO,5266,0,0,1,0,0,0,0,0,1,1,0,0,0,1
ANTIOQUIA,FREDONIA,5282,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTIOQUIA,FRONTINO,5284,15,11,15,24,15,3,54,4,141,7,0,0,0,7
ANTIOQUIA,GIRALDO,5306,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTIOQUIA,GIRARDOTA,5308,0,0,0,0,0,6,0,0,6,1,0,0,0,1
ANTIOQUIA,GOMEZ PLATA,5310,12,16,28,35,10,21,91,7,220,2,1,1,0,4
ANTIOQUIA,GRANADA,5313,5,3,0,3,28,25,19,8,91,2,1,0,0,3
