DEPARTAMENTO,MUNICIPIO,CODIGO MUNICIPIO,TERNERAS < 1 AÑO,TERNEROS < 1 AÑO,HEMBRAS 1 - 2 AÑOS,MACHOS 1 - 2 AÑOS,HEMBRAS 2 - 3 AÑOS,MACHOS 2 - 3 AÑOS,HEMBRAS > 3 AÑOS,MACHOS > 3 AÑOS,TOTAL BOVINOS, No DE FINCAS 1 A 50, No DE FINCAS 51 A 100, No DE FINCAS 101 A 500, No DE FINCAS 501 O MAS,TOTAL FINCAS CON BOVINOS
ANTIOQUIA,MEDELLIN,5001,2270,765,2551,1157,1818,500,3773,100,12934,525,30,27,1,583
ANTIOQUIA,ABEJORRAL,5002,2820,1761,4145,2692,2600,1260,8717,777,24772,958,75,30,0,1063
ANTIOQUIA,ABRIAQUI,5004,1130,841,1178,1259,1166,531,3043,103,9251,249,37,12,0,298
ANTIOQUIA,ALEJANDRIA,5021,345,323,649,224,670,118,1302,146,3777,206,12,3,0,221
ANTIOQUIA,AMAGA,5030,383,297,803,1026,368,444,944,90,4355,193,6,10,0,209
ANTIOQUIA,AMALFI,5031,4082,4031,4097,5201,4771,4654,10958,1207,39001,635,127,83,4,849
ANTIOQUIA,ANDES,5034,506,482,932,821,972,648,1402,150,5913,231,16,10,0,257
ANTIOQUIA,ANGELOPOLIS,5036,204,125,492,609,312,560,420,149,2871,87,9,6,0,102
ANTIOQUIA,ANGOSTURA,5038,1937,697,2309,674,2086,665,5344,242,13954,444,41,20,0,505
ANTIOQUIA,ANORI,5040,5264,4959,4344,5489,4024,2637,11949,1006,39672,613,166,82,1,862
ANTIOQUIA,SANTA FE DE ANTIOQUIA,5042,2176,2006,2235,1559,2288,702,5664,547,17177,577,53,26,0,656
ANTIOQUIA,ANZA,5044,869,820,1402,1016,1241,1237,2348,221,9154,224,23,13,1,261
ANTIOQUIA,APARTADO,5045,2908,2340,2491,1668,2109,1097,6847,412,19872,341,51,42,4,438
ANTIOQUIA,ARBOLETES,5051,6820,6652,8513,13578,6419,9292,19325,3595,74194,627,121,121,30,899
ANTIOQUIA,ARGELIA,5055,1429,1246,1484,1061,1717,570,3851,323,11681,407,42,15,0,464
ANTIOQUIA,ARMENIA,5059,615,563,1548,2060,1579,1922,1540,1081,10908,67,10,28,4,109
ANTIOQUIA,BARBOSA,5079,2312,1561,2640,1937,2225,1236,3587,344,15842,709,56,16,1,782
ANTIOQUIA,BELMIRA,5086,6693,425,5871,474,6674,395,15703,181,36416,469,121,97,1,688
ANTIOQUIA,BELLO,5088,3563,345,2913,518,3473,246,8024,61,19143,302,87,44,0,433
ANTIOQUIA,BETANIA,5091,256,174,537,267,569,272,403,54,2532,53,7,7,0,67
ANTIOQUIA,BETULIA,5093,543,581,1174,1682,1092,1040,1552,364,8028,94,26,20,1,141
ANTIOQUIA,CIUDAD BOLIVAR,5101,513,465,1236,1504,1081,1388,1358,109,7654,168,25,21,0,214
ANTIOQUIA,BRICEÑO,5107,1774,1751,2169,2204,2168,3101,5872,516,19555,385,89,30,0,504
ANTIOQUIA,BURITICA,5113,619,670,1010,470,557,224,1872,252,5674,167,18,12,0,197
ANTIOQUIA,CACERES,5120,11050,9734,10016,6729,9542,5938,30613,2414,86036,283,61,100,49,493
ANTIOQUIA,CAICEDO,5125,449,510,507,1145,483,587,1129,189,4999,292,16,0,0,308
ANTIOQUIA,CALDAS,5129,364,229,707,444,212,130,1073,69,3228,140,11,3,0,154
ANTIOQUIA,CAMPAMENTO,5134,510,489,1386,1073,1269,999,3386,332,9444,332,35,8,0,375
ANTIOQUIA,CAÑASGORDAS,5138,1806,1604,2550,1833,1838,686,5086,402,15805,801,47,7,0,855
ANTIOQUIA,CARACOLI,5142,3225,2897,3398,1224,3533,377,8396,243,23293,157,64,70,2,293
ANTIOQUIA,CARAMANTA,5145,368,355,508,597,762,1056,930,295,4871,131,10,8,1,150
ANTIOQUIA,CAREPA,5147,3029,2902,3389,3177,2581,1746,9907,487,27218,280,75,72,4,431
ANTIOQUIA,EL CARMEN DE VIBORAL,5148,2560,652,2884,944,2274,454,6054,284,16106,930,46,16,0,992
ANTIOQUIA,CAROLINA,5150,581,210,703,846,583,424,1866,28,5241,150,13,10,0,173
