Año,Municipio,rangotamañopredial,cantidaddepredios,área(Ha),cantidaddepropietarios,área(Ha)/propetario
2013,Chima,"A1.Hasta 0,5 ha",358,58.0025,368,0.157615489130435
2013,Chima,"A2.Mayor a 0,5 ha - hasta 1 ha",113,107.2396,117,0.916577777777778
2013,Chima,"A3.Mayor a 1 ha - hasta 2,5 ha",284,542.6831,317,1.71193406940063
2013,Chima,"A4.Mayor a 2,5 ha - hasta 3 ha",64,190.5299,67,2.84372985074627
2013,Chima,B1.Mayor a 3 ha - hasta 5 ha,258,1121.077,301,3.72450830564784
2013,Chima,B2.Mayor a 5 ha - hasta 10 ha,371,2672.3547,485,5.51000969072165
2013,Chima,C1.Mayor a 10 ha - hasta 20 ha,342,4898.0507,499,9.81573286573146
2013,Chima,D1.Mayor a 20 ha - hasta 50 ha,245,7482.3506,408,18.3390946078431
2013,Chima,D2.Mayor a 50 ha - hasta 100 ha,81,5852.73999999999,152,38.5048684210526
2013,Chima,D3.Mayor a 100 ha - hasta 200 ha,28,3510.59709999999,75,46.8079613333332
2013,Chima,E1.Mayor a 200 ha - hasta 500 ha,15,4957.0816,74,66.9875891891892
2013,Chima,E3.Mayor a 1000 ha - hasta 2000 ha,1,1153.37519999999,4,288.343799999997
2014,Chima,"A1.Hasta 0,5 ha",358,58.0025,358,0.162018156424581
2014,Chima,"A2.Mayor a 0,5 ha - hasta 1 ha",113,107.2396,113,0.949023008849558
2014,Chima,"A3.Mayor a 1 ha - hasta 2,5 ha",284,542.6831,284,1.91085598591549
2014,Chima,"A4.Mayor a 2,5 ha - hasta 3 ha",64,190.5299,64,2.9770296875
2014,Chima,B1.Mayor a 3 ha - hasta 5 ha,258,1121.077,258,4.34525968992248
2014,Chima,B2.Mayor a 5 ha - hasta 10 ha,371,2673.2692,371,7.20557735849057
2014,Chima,C1.Mayor a 10 ha - hasta 20 ha,342,4896.6383,342,14.3176558479532
2014,Chima,D1.Mayor a 20 ha - hasta 50 ha,245,7440.8363,245,30.3707604081632
2014,Chima,D2.Mayor a 50 ha - hasta 100 ha,81,5776.66339999999,81,71.3168320987653
2014,Chima,D3.Mayor a 100 ha - hasta 200 ha,28,3510.59709999999,28,125.378467857143
2014,Chima,E1.Mayor a 200 ha - hasta 500 ha,15,4861.0816,15,324.072106666666
2014,Chima,E3.Mayor a 1000 ha - hasta 2000 ha,1,1153.37519999999,1,1153.37519999999
2015,Chima,"A1.Hasta 0,5 ha",358,58.0025,368,0.157615489130435
2015,Chima,"A2.Mayor a 0,5 ha - hasta 1 ha",114,108.7996,118,0.922030508474577
2015,Chima,"A3.Mayor a 1 ha - hasta 2,5 ha",283,541.1231,316,1.71241487341772
2015,Chima,"A4.Mayor a 2,5 ha - hasta 3 ha",65,194.2499,68,2.85661617647059
2015,Chima,B1.Mayor a 3 ha - hasta 5 ha,257,1117.357,302,3.69985761589404
2015,Chima,B2.Mayor a 5 ha - hasta 10 ha,373,2692.9424,505,5.3325592079208
2015,Chima,C1.Mayor a 10 ha - hasta 20 ha,341,4884.2151,502,9.72951215139441
2015,Chima,D1.Mayor a 20 ha - hasta 50 ha,245,7433.5862,413,17.998998062954
2015,Chima,D2.Mayor a 50 ha - hasta 100 ha,81,5776.66339999999,149,38.7695530201342
2015,Chima,D3.Mayor a 100 ha - hasta 200 ha,28,3510.59709999999,74,47.4405013513513
2015,Chima,E1.Mayor a 200 ha - hasta 500 ha,15,4861.0816,73,66.5901589041095
2015,Chima,E3.Mayor a 1000 ha - hasta 2000 ha,1,1153.37519999999,4,288.343799999997
2016,Chima,"A1.Hasta 0,5 ha",360,103.5678,370,0.279912972972973
2016,Chima,"A2.Mayor a 0,5 ha - hasta 1 ha",115,109.0086,119,0.916038655462185
2016,Chima,"A3.Mayor a 1 ha - hasta 2,5 ha",285,544.5355,318,1.71237578616352
2016,Chima,"A4.Mayor a 2,5 ha - hasta 3 ha",66,199.2404,69,2.88754202898551
2016,Chima,B1.Mayor a 3 ha - hasta 5 ha,256,1112.6695,301,3.69657641196013
2016,Chima,B2.Mayor a 5 ha - hasta 10 ha,372,2718.9184,509,5.34168644400786
2016,Chima,C1.Mayor a 10 ha - hasta 20 ha,343,4938.0869,505,9.77838990099009
