Año,Municipio,rangotamañopredial,cantidaddepredios,área(Ha),cantidaddepropietarios,área(Ha)/propetario
2013,Cotorra,"A1.Hasta 0,5 ha",580,87.2872999999999,518,0.168508301158301
2013,Cotorra,"A2.Mayor a 0,5 ha - hasta 1 ha",163,135.0595,169,0.799168639053255
2013,Cotorra,"A3.Mayor a 1 ha - hasta 2,5 ha",395,659.1593,389,1.6944969151671
2013,Cotorra,"A4.Mayor a 2,5 ha - hasta 3 ha",99,250.3128,109,2.29644770642202
2013,Cotorra,B1.Mayor a 3 ha - hasta 5 ha,255,988.0193,292,3.38362773972603
2013,Cotorra,B2.Mayor a 5 ha - hasta 10 ha,253,1709.527,325,5.26008307692307
2013,Cotorra,C1.Mayor a 10 ha - hasta 20 ha,107,1510.7919,154,9.810337012987
2013,Cotorra,D1.Mayor a 20 ha - hasta 50 ha,49,1243.8228,67,18.5645194029851
2013,Cotorra,D2.Mayor a 50 ha - hasta 100 ha,12,852.2585,20,42.612925
2013,Cotorra,D3.Mayor a 100 ha - hasta 200 ha,6,622.452199999999,6,103.742033333333
2014,Cotorra,"A1.Hasta 0,5 ha",580,84.0329,580,0.144884310344828
2014,Cotorra,"A2.Mayor a 0,5 ha - hasta 1 ha",163,126.5917,163,0.776636196319019
2014,Cotorra,"A3.Mayor a 1 ha - hasta 2,5 ha",395,664.0722,395,1.68119544303798
2014,Cotorra,"A4.Mayor a 2,5 ha - hasta 3 ha",99,269.5913,99,2.72314444444444
2014,Cotorra,B1.Mayor a 3 ha - hasta 5 ha,255,1002.7403,255,3.93231490196079
2014,Cotorra,B2.Mayor a 5 ha - hasta 10 ha,253,1744.2172,253,6.89413913043477
2014,Cotorra,C1.Mayor a 10 ha - hasta 20 ha,107,1465.7582,107,13.6986747663551
2014,Cotorra,D1.Mayor a 20 ha - hasta 50 ha,49,1262.307,49,25.7613673469388
2014,Cotorra,D2.Mayor a 50 ha - hasta 100 ha,12,852.2585,12,71.0215416666667
2014,Cotorra,D3.Mayor a 100 ha - hasta 200 ha,6,673.111299999999,6,112.185216666667
2015,Cotorra,"A1.Hasta 0,5 ha",580,84.0328999999999,601,0.139821797004992
2015,Cotorra,"A2.Mayor a 0,5 ha - hasta 1 ha",163,126.7575,183,0.69266393442623
2015,Cotorra,"A3.Mayor a 1 ha - hasta 2,5 ha",399,669.0359,426,1.57050680751174
2015,Cotorra,"A4.Mayor a 2,5 ha - hasta 3 ha",99,269.5913,108,2.49621574074074
