Año,Municipio,rango tamaño predial,cantidad de predios,área (Ha),cantidad de propietarios,área(Ha)/propetario
2013,Chima,"A1.Hasta 0,5 ha",358,58.002499999999984,368,0.15761548913043474
2013,Chima,"A2.Mayor a 0,5 ha - hasta 1 ha",113,107.23960000000004,117,0.91657777777777816
2013,Chima,"A3.Mayor a 1 ha - hasta 2,5 ha",284,542.68309999999997,317,1.7119340694006309
2013,Chima,"A4.Mayor a 2,5 ha - hasta 3 ha",64,190.52990000000003,67,2.8437298507462692
2013,Chima,B1.Mayor a 3 ha - hasta 5 ha,258,1121.0769999999993,301,3.7245083056478383
2013,Chima,B2.Mayor a 5 ha - hasta 10 ha,371,2672.3547000000017,485,5.5100096907216534
2013,Chima,C1.Mayor a 10 ha - hasta 20 ha,342,4898.0506999999961,499,9.8157328657314551
2013,Chima,D1.Mayor a 20 ha - hasta 50 ha,245,7482.350599999997,408,18.33909460784313
2013,Chima,D2.Mayor a 50 ha - hasta 100 ha,81,5852.7399999999934,152,38.504868421052585
2013,Chima,D3.Mayor a 100 ha - hasta 200 ha,28,3510.5970999999927,75,46.807961333333239
2013,Chima,E1.Mayor a 200 ha - hasta 500 ha,15,4957.0815999999968,74,66.987589189189151
2013,Chima,E3.Mayor a 1000 ha - hasta 2000 ha,1,1153.3751999999899,4,288.34379999999749
2013,Chinú,"A1.Hasta 0,5 ha",563,452.66610000000003,599,0.75570300500834731
2013,Chinú,"A2.Mayor a 0,5 ha - hasta 1 ha",460,683.76339999999993,502,1.3620784860557769
2013,Chinú,"A3.Mayor a 1 ha - hasta 2,5 ha",876,2068.3150999999993,1015,2.0377488669950732
2013,Chinú,"A4.Mayor a 2,5 ha - hasta 3 ha",206,700.39569999999992,259,2.7042305019305015
2013,Chinú,B1.Mayor a 3 ha - hasta 5 ha,670,3192.7426999999984,831,3.8420489771359789
2013,Chinú,B2.Mayor a 5 ha - hasta 10 ha,911,7157.9748999999993,1225,5.8432448163265303
2013,Chinú,C1.Mayor a 10 ha - hasta 20 ha,573,8053.8162999999995,816,9.8698729166666652
2013,Chinú,D1.Mayor a 20 ha - hasta 50 ha,380,10682.421999999991,609,17.540922824302122
2013,Chinú,D2.Mayor a 50 ha - hasta 100 ha,125,7870.7892999999995,194,40.571078865979381
2013,Chinú,D3.Mayor a 100 ha - hasta 200 ha,78,9976.7884999999787,131,76.158690839694501
2013,Chinú,E1.Mayor a 200 ha - hasta 500 ha,26,6984.5666999999921,41,170.35528536585346
2013,Chinú,E2.Mayor a 500 ha - hasta 1000 ha,6,3904.5766999999978,6,650.762783333333
2013,Ciénaga de Oro,"A1.Hasta 0,5 ha",1385,204.04810000000023,1458,0.13995068587105641
2013,Ciénaga de Oro,"A2.Mayor a 0,5 ha - hasta 1 ha",467,399.67639999999989,534,0.74845767790262152
2013,Ciénaga de Oro,"A3.Mayor a 1 ha - hasta 2,5 ha",964,1840.070300000001,1091,1.6865905591200743
2013,Ciénaga de Oro,"A4.Mayor a 2,5 ha - hasta 3 ha",263,758.45280000000059,315,2.4077866666666687
2013,Ciénaga de Oro,B1.Mayor a 3 ha - hasta 5 ha,788,3206.9331999999981,968,3.3129475206611549
2013,Ciénaga de Oro,B2.Mayor a 5 ha - hasta 10 ha,1074,7979.5755999999919,1411,5.6552626506024035
2013,Ciénaga de Oro,C1.Mayor a 10 ha - hasta 20 ha,805,11011.984999999971,1110,9.9207072072071814
2013,Ciénaga de Oro,D1.Mayor a 20 ha - hasta 50 ha,484,14224.927999999987,709,20.063368124118458
2013,Ciénaga de Oro,D2.Mayor a 50 ha - hasta 100 ha,147,10103.981999999993,233,43.364729613733871
2013,Ciénaga de Oro,D3.Mayor a 100 ha - hasta 200 ha,52,6962.4770999999855,84,82.886632142856968
2013,Ciénaga de Oro,E1.Mayor a 200 ha - hasta 500 ha,21,5113.5383999999904,32,159.7980749999997
2013,Ciénaga de Oro,E2.Mayor a 500 ha - hasta 1000 ha,2,1294.4007000000001,3,431.46690000000007
2013,Cotorra,"A1.Hasta 0,5 ha",580,87.287299999999917,518,0.16850830115830101
2013,Cotorra,"A2.Mayor a 0,5 ha - hasta 1 ha",163,135.05950000000001,169,0.79916863905325453
2013,Cotorra,"A3.Mayor a 1 ha - hasta 2,5 ha",395,659.15930000000014,389,1.6944969151670954
2013,Cotorra,"A4.Mayor a 2,5 ha - hasta 3 ha",99,250.3127999999999,109,2.2964477064220175
2013,Cotorra,B1.Mayor a 3 ha - hasta 5 ha,255,988.0193000000005,292,3.383627739726029
2013,Cotorra,B2.Mayor a 5 ha - hasta 10 ha,253,1709.5269999999969,325,5.2600830769230669
2013,Cotorra,C1.Mayor a 10 ha - hasta 20 ha,107,1510.7918999999977,154,9.8103370129869987
2013,Cotorra,D1.Mayor a 20 ha - hasta 50 ha,49,1243.822799999999,67,18.564519402985059
2013,Cotorra,D2.Mayor a 50 ha - hasta 100 ha,12,852.25849999999991,20,42.612924999999997
2013,Cotorra,D3.Mayor a 100 ha - hasta 200 ha,6,622.45219999999892,6,103.74203333333315
2013,Lorica,"A1.Hasta 0,5 ha",2408,380.96700000000016,2575,0.14794834951456318
2013,Lorica,"A2.Mayor a 0,5 ha - hasta 1 ha",652,541.01759999999967,749,0.72231989319092083
2013,Lorica,"A3.Mayor a 1 ha - hasta 2,5 ha",1329,2431.155300000004,1533,1.5858808219178109
2013,Lorica,"A4.Mayor a 2,5 ha - hasta 3 ha",351,1048.5941999999995,432,2.4273013888888877
2013,Lorica,B1.Mayor a 3 ha - hasta 5 ha,1166,4758.7511999999988,1510,3.1514908609271517
2013,Lorica,B2.Mayor a 5 ha - hasta 10 ha,1762,12664.769399999999,2376,5.3302901515151513
2013,Lorica,C1.Mayor a 10 ha - hasta 20 ha,1237,16730.210699999981,1728,9.6818348958333225
2013,Lorica,D1.Mayor a 20 ha - hasta 50 ha,678,20100.446599999999,1018,19.745035952848724
2013,Lorica,D2.Mayor a 50 ha - hasta 100 ha,175,11645.977799999993,287,40.578319860627154
2013,Lorica,D3.Mayor a 100 ha - hasta 200 ha,70,9125.0071999999782,111,82.207272072071873
2013,Lorica,E1.Mayor a 200 ha - hasta 500 ha,26,7600.6727999999903,36,211.12979999999973
2013,Lorica,E2.Mayor a 500 ha - hasta 1000 ha,5,3449.6126999999992,10,344.9612699999999
2013,Momil,"A1.Hasta 0,5 ha",322,52.299799999999998,348,0.1502867816091954
2013,Momil,"A2.Mayor a 0,5 ha - hasta 1 ha",53,43.719499999999996,55,0.79489999999999994
2013,Momil,"A3.Mayor a 1 ha - hasta 2,5 ha",177,374.25549999999998,194,1.9291520618556701
2013,Momil,"A4.Mayor a 2,5 ha - hasta 3 ha",42,129.3374,46,2.8116826086956523
2013,Momil,B1.Mayor a 3 ha - hasta 5 ha,184,761.8454999999999,214,3.5600257009345788
2013,Momil,B2.Mayor a 5 ha - hasta 10 ha,202,1456.4442999999987,264,5.5168344696969651
2013,Momil,C1.Mayor a 10 ha - hasta 20 ha,137,1915.2735999999966,219,8.7455415525113995
2013,Momil,D1.Mayor a 20 ha - hasta 50 ha,103,3056.3600999999962,158,19.34405126582276
