Año,Municipio,rango tamaño predial,cantidad de predios,área (Ha),cantidad de propietarios,área(Ha)/propetario
2013,Ayapel,"A1.Hasta 0,5 ha",251,45.3,260,0.17425461538461548
2013,Ayapel,"A2.Mayor a 0,5 ha - hasta 1 ha",78,60.7,95,0.6388442105263159
2013,Ayapel,"A3.Mayor a 1 ha - hasta 2,5 ha",179,327.9,204,1.6075818627450982
2013,Ayapel,"A4.Mayor a 2,5 ha - hasta 3 ha",42,100.7,47,2.1430680851063828
2013,Ayapel,B1.Mayor a 3 ha - hasta 5 ha,160,615.1,197,3.1221274111675141
2013,Ayapel,B2.Mayor a 5 ha - hasta 10 ha,353,2989.0,404,7.3984514851485157
2013,Ayapel,C1.Mayor a 10 ha - hasta 20 ha,634,9437.5,743,12.701932436070035
2013,Ayapel,D1.Mayor a 20 ha - hasta 50 ha,708,22534.8,925,24.361976540540514
2013,Ayapel,D2.Mayor a 50 ha - hasta 100 ha,374,26250.8,564,46.543964716312018
2013,Ayapel,D3.Mayor a 100 ha - hasta 200 ha,195,27454.5,337,81.467427893174957
2013,Ayapel,E1.Mayor a 200 ha - hasta 500 ha,118,34932.9,173,201.92431502890165
2013,Ayapel,E2.Mayor a 500 ha - hasta 1000 ha,34,23205.7,37,627.18192432432397
2013,Ayapel,E3.Mayor a 1000 ha - hasta 2000 ha,16,19731.4,17,1160.6725235294105
2013,Ayapel,E4.Mayor a 2000 ha - hasta 5000 ha,4,11217.5,4,2804.3705499999978
2013,Buenavista,"A1.Hasta 0,5 ha",344,1373.3,364,3.7727217032967033
2013,Buenavista,"A2.Mayor a 0,5 ha - hasta 1 ha",55,2541.9,62,40.998991935483872
2013,Buenavista,"A3.Mayor a 1 ha - hasta 2,5 ha",119,221.7,141,1.5723468085106378
2013,Buenavista,"A4.Mayor a 2,5 ha - hasta 3 ha",35,111.8,39,2.8658461538461539
2013,Buenavista,B1.Mayor a 3 ha - hasta 5 ha,123,544.1,147,3.7015476190476178
2013,Buenavista,B2.Mayor a 5 ha - hasta 10 ha,301,2346.2,363,6.463341597796151
2013,Buenavista,C1.Mayor a 10 ha - hasta 20 ha,313,4570.9,396,11.542593434343424
2013,Buenavista,D1.Mayor a 20 ha - hasta 50 ha,309,9231.1,445,20.744138651685361
2013,Buenavista,D2.Mayor a 50 ha - hasta 100 ha,153,10441.8,246,42.446461788617874
2013,Buenavista,D3.Mayor a 100 ha - hasta 200 ha,87,12100.5,159,76.103613207547014
2013,Buenavista,E1.Mayor a 200 ha - hasta 500 ha,80,24083.5,122,197.40610491803255
2013,Buenavista,E2.Mayor a 500 ha - hasta 1000 ha,15,9827.3,22,446.69595454545447
2013,Buenavista,E3.Mayor a 1000 ha - hasta 2000 ha,6,6545.7,10,654.56517999999903
2013,Buenavista,E4.Mayor a 2000 ha - hasta 5000 ha,1,2457.8,1,2457.8069999999898
2013,Canalete,"A1.Hasta 0,5 ha",389,66.8,423,0.15789078014184396
2013,Canalete,"A2.Mayor a 0,5 ha - hasta 1 ha",112,85.3,117,0.72882905982905988
2013,Canalete,"A3.Mayor a 1 ha - hasta 2,5 ha",187,356.1,213,1.6717417840375592
2013,Canalete,"A4.Mayor a 2,5 ha - hasta 3 ha",59,169.7,68,2.4951749999999997
2013,Canalete,B1.Mayor a 3 ha - hasta 5 ha,188,766.6,203,3.7765950738916247
2013,Canalete,B2.Mayor a 5 ha - hasta 10 ha,324,2436.7,383,6.3620438642297632
2013,Canalete,C1.Mayor a 10 ha - hasta 20 ha,363,5198.7,504,10.314929365079353
2013,Canalete,D1.Mayor a 20 ha - hasta 50 ha,240,7480.4,362,20.664140883977879
2013,Canalete,D2.Mayor a 50 ha - hasta 100 ha,106,6918.9,201,34.422317910447738
2013,Canalete,D3.Mayor a 100 ha - hasta 200 ha,55,7244.1,74,97.893327027026814
2013,Canalete,E1.Mayor a 200 ha - hasta 500 ha,30,8968.7,39,229.96588205128174
2013,Canalete,E2.Mayor a 500 ha - hasta 1000 ha,4,2627.7181999999984,4,656.92954999999961
2013,Cereté,"A1.Hasta 0,5 ha",6025,638.19540000000336,6350,0.10050321259842572
2013,Cereté,"A2.Mayor a 0,5 ha - hasta 1 ha",651,506.69859999999989,754,0.67201405835543748
2013,Cereté,"A3.Mayor a 1 ha - hasta 2,5 ha",926,1523.6811000000014,1142,1.3342216287215423
2013,Cereté,"A4.Mayor a 2,5 ha - hasta 3 ha",190,516.66179999999997,245,2.1088236734693875
2013,Cereté,B1.Mayor a 3 ha - hasta 5 ha,437,1640.2740000000003,533,3.0774371482176366
2013,Cereté,B2.Mayor a 5 ha - hasta 10 ha,433,3107.9473000000021,546,5.6922111721611763
2013,Cereté,C1.Mayor a 10 ha - hasta 20 ha,240,3116.4392999999959,369,8.445634959349583
2013,Cereté,D1.Mayor a 20 ha - hasta 50 ha,155,4794.3791999999967,211,22.722176303317521
2013,Cereté,D2.Mayor a 50 ha - hasta 100 ha,77,5221.8621999999978,132,39.559562121212103
2013,Cereté,D3.Mayor a 100 ha - hasta 200 ha,27,3104.255599999994,40,77.606389999999848
2013,Cereté,E1.Mayor a 200 ha - hasta 500 ha,4,913.76569999999901,9,101.52952222222211
2013,Cereté,E2.Mayor a 500 ha - hasta 1000 ha,2,1092.5829999999978,7,156.08328571428541
2013,Cereté,E3.Mayor a 1000 ha - hasta 2000 ha,1,1161.22,1,1161.22
2013,Chima,"A1.Hasta 0,5 ha",358,58.002499999999984,368,0.15761548913043474
2013,Chima,"A2.Mayor a 0,5 ha - hasta 1 ha",113,107.23960000000004,117,0.91657777777777816
2013,Chima,"A3.Mayor a 1 ha - hasta 2,5 ha",284,542.68309999999997,317,1.7119340694006309
2013,Chima,"A4.Mayor a 2,5 ha - hasta 3 ha",64,190.52990000000003,67,2.8437298507462692
2013,Chima,B1.Mayor a 3 ha - hasta 5 ha,258,1121.0769999999993,301,3.7245083056478383
2013,Chima,B2.Mayor a 5 ha - hasta 10 ha,371,2672.3547000000017,485,5.5100096907216534
2013,Chima,C1.Mayor a 10 ha - hasta 20 ha,342,4898.0506999999961,499,9.8157328657314551
2013,Chima,D1.Mayor a 20 ha - hasta 50 ha,245,7482.350599999997,408,18.33909460784313
2013,Chima,D2.Mayor a 50 ha - hasta 100 ha,81,5852.7399999999934,152,38.504868421052585
2013,Chima,D3.Mayor a 100 ha - hasta 200 ha,28,3510.5970999999927,75,46.807961333333239
2013,Chima,E1.Mayor a 200 ha - hasta 500 ha,15,4957.0815999999968,74,66.987589189189151
2013,Chima,E3.Mayor a 1000 ha - hasta 2000 ha,1,1153.3751999999899,4,288.34379999999749
2013,Chinú,"A1.Hasta 0,5 ha",563,452.66610000000003,599,0.75570300500834731
2013,Chinú,"A2.Mayor a 0,5 ha - hasta 1 ha",460,683.76339999999993,502,1.3620784860557769
2013,Chinú,"A3.Mayor a 1 ha - hasta 2,5 ha",876,2068.3150999999993,1015,2.0377488669950732
2013,Chinú,"A4.Mayor a 2,5 ha - hasta 3 ha",206,700.39569999999992,259,2.7042305019305015
2013,Chinú,B1.Mayor a 3 ha - hasta 5 ha,670,3192.7426999999984,831,3.8420489771359789
2013,Chinú,B2.Mayor a 5 ha - hasta 10 ha,911,7157.9748999999993,1225,5.8432448163265303
2013,Chinú,C1.Mayor a 10 ha - hasta 20 ha,573,8053.8162999999995,816,9.8698729166666652
2013,Chinú,D1.Mayor a 20 ha - hasta 50 ha,380,10682.421999999991,609,17.540922824302122
2013,Chinú,D2.Mayor a 50 ha - hasta 100 ha,125,7870.7892999999995,194,40.571078865979381
2013,Chinú,D3.Mayor a 100 ha - hasta 200 ha,78,9976.7884999999787,131,76.158690839694501
2013,Chinú,E1.Mayor a 200 ha - hasta 500 ha,26,6984.5666999999921,41,170.35528536585346
2013,Chinú,E2.Mayor a 500 ha - hasta 1000 ha,6,3904.5766999999978,6,650.762783333333
2013,Ciénaga de Oro,"A1.Hasta 0,5 ha",1385,204.04810000000023,1458,0.13995068587105641
2013,Ciénaga de Oro,"A2.Mayor a 0,5 ha - hasta 1 ha",467,399.67639999999989,534,0.74845767790262152
