Año,Municipio,rango tamaño predial,cantidad de predios,área (Ha),cantidad de propietarios,área(Ha)/propetario
2013,Lorica,"A1.Hasta 0,5 ha",2408,380.96700000000016,2575,0.14794834951456318
2013,Lorica,"A2.Mayor a 0,5 ha - hasta 1 ha",652,541.01759999999967,749,0.72231989319092083
2013,Lorica,"A3.Mayor a 1 ha - hasta 2,5 ha",1329,2431.155300000004,1533,1.5858808219178109
2013,Lorica,"A4.Mayor a 2,5 ha - hasta 3 ha",351,1048.5941999999995,432,2.4273013888888877
2013,Lorica,B1.Mayor a 3 ha - hasta 5 ha,1166,4758.7511999999988,1510,3.1514908609271517
2013,Lorica,B2.Mayor a 5 ha - hasta 10 ha,1762,12664.769399999999,2376,5.3302901515151513
2013,Lorica,C1.Mayor a 10 ha - hasta 20 ha,1237,16730.210699999981,1728,9.6818348958333225
2013,Lorica,D1.Mayor a 20 ha - hasta 50 ha,678,20100.446599999999,1018,19.745035952848724
2013,Lorica,D2.Mayor a 50 ha - hasta 100 ha,175,11645.977799999993,287,40.578319860627154
2013,Lorica,D3.Mayor a 100 ha - hasta 200 ha,70,9125.0071999999782,111,82.207272072071873
2013,Lorica,E1.Mayor a 200 ha - hasta 500 ha,26,7600.6727999999903,36,211.12979999999973
2013,Lorica,E2.Mayor a 500 ha - hasta 1000 ha,5,3449.6126999999992,10,344.9612699999999
2014,Lorica,"A1.Hasta 0,5 ha",2408,383.61310000000026,2407,0.15937395097631918
2014,Lorica,"A2.Mayor a 0,5 ha - hasta 1 ha",652,540.17359999999974,651,0.82975975422426995
2014,Lorica,"A3.Mayor a 1 ha - hasta 2,5 ha",1329,2444.5435000000043,1326,1.8435471342383141
2014,Lorica,"A4.Mayor a 2,5 ha - hasta 3 ha",351,1030.2435999999996,350,2.9435531428571418
2014,Lorica,B1.Mayor a 3 ha - hasta 5 ha,1166,4767.6965999999975,1166,4.0889336192109758
2014,Lorica,B2.Mayor a 5 ha - hasta 10 ha,1762,12648.967899999996,1761,7.1828324247586579
2014,Lorica,C1.Mayor a 10 ha - hasta 20 ha,1237,16699.157099999979,1236,13.510644902912604
2014,Lorica,D1.Mayor a 20 ha - hasta 50 ha,678,20146.5605,678,29.714691002949852
2014,Lorica,D2.Mayor a 50 ha - hasta 100 ha,175,11462.905099999993,175,65.502314857142821
2014,Lorica,D3.Mayor a 100 ha - hasta 200 ha,70,9125.0071999999782,70,130.3572457142854
2014,Lorica,E1.Mayor a 200 ha - hasta 500 ha,26,7592.188899999991,26,292.00726538461504
2014,Lorica,E2.Mayor a 500 ha - hasta 1000 ha,5,3449.6126999999992,5,689.9225399999998
2015,Lorica,"A1.Hasta 0,5 ha",2410,383.70150000000024,2577,0.14889464493597215
2015,Lorica,"A2.Mayor a 0,5 ha - hasta 1 ha",656,557.71949999999936,756,0.73772420634920555
