Año,Municipio,rangotamañopredial,cantidaddepredios,área(Ha),cantidaddepropietarios,área(Ha)/propetario
2013,Momil,"A1.Hasta 0,5 ha",322,52.2998,348,0.150286781609195
2013,Momil,"A2.Mayor a 0,5 ha - hasta 1 ha",53,43.7195,55,0.7949
2013,Momil,"A3.Mayor a 1 ha - hasta 2,5 ha",177,374.2555,194,1.92915206185567
2013,Momil,"A4.Mayor a 2,5 ha - hasta 3 ha",42,129.3374,46,2.81168260869565
2013,Momil,B1.Mayor a 3 ha - hasta 5 ha,184,761.8455,214,3.56002570093458
2013,Momil,B2.Mayor a 5 ha - hasta 10 ha,202,1456.4443,264,5.51683446969697
2013,Momil,C1.Mayor a 10 ha - hasta 20 ha,137,1915.2736,219,8.7455415525114
2013,Momil,D1.Mayor a 20 ha - hasta 50 ha,103,3056.3601,158,19.3440512658228
2013,Momil,D2.Mayor a 50 ha - hasta 100 ha,33,2246.7239,50,44.934478
2013,Momil,D3.Mayor a 100 ha - hasta 200 ha,13,1966.8611,24,81.9525458333332
2013,Momil,E1.Mayor a 200 ha - hasta 500 ha,4,849.170999999998,4,212.29275
2013,Momil,E4.Mayor a 2000 ha - hasta 5000 ha,1,1920.0,1,1920.0
2014,Momil,"A1.Hasta 0,5 ha",322,52.2998,322,0.162421739130435
2014,Momil,"A2.Mayor a 0,5 ha - hasta 1 ha",53,43.7195,53,0.824896226415094
2014,Momil,"A3.Mayor a 1 ha - hasta 2,5 ha",177,374.2555,177,2.11443785310734
2014,Momil,"A4.Mayor a 2,5 ha - hasta 3 ha",42,129.3374,42,3.0794619047619
2014,Momil,B1.Mayor a 3 ha - hasta 5 ha,184,761.8455,183,4.16309016393443
2014,Momil,B2.Mayor a 5 ha - hasta 10 ha,202,1462.2777,202,7.23899851485148
2014,Momil,C1.Mayor a 10 ha - hasta 20 ha,137,1882.8482,135,13.9470237037037
2014,Momil,D1.Mayor a 20 ha - hasta 50 ha,103,3073.1299,103,29.8362126213592
2014,Momil,D2.Mayor a 50 ha - hasta 100 ha,33,2246.7164,33,68.0823151515151
2014,Momil,D3.Mayor a 100 ha - hasta 200 ha,13,1966.8611,13,151.297007692308
2014,Momil,E1.Mayor a 200 ha - hasta 500 ha,4,849.170999999998,3,283.056999999999
2014,Momil,E4.Mayor a 2000 ha - hasta 5000 ha,1,1920.0,1,1920.0
2015,Momil,"A1.Hasta 0,5 ha",322,52.2998,348,0.150286781609195
2015,Momil,"A2.Mayor a 0,5 ha - hasta 1 ha",53,43.7195,55,0.7949
2015,Momil,"A3.Mayor a 1 ha - hasta 2,5 ha",177,374.2555,194,1.92915206185567
2015,Momil,"A4.Mayor a 2,5 ha - hasta 3 ha",42,129.3374,46,2.81168260869565
2015,Momil,B1.Mayor a 3 ha - hasta 5 ha,180,750.1478,210,3.57213238095238
2015,Momil,B2.Mayor a 5 ha - hasta 10 ha,202,1456.3851,265,5.49579283018867
2015,Momil,C1.Mayor a 10 ha - hasta 20 ha,138,1890.3833,218,8.67148302752292
2015,Momil,D1.Mayor a 20 ha - hasta 50 ha,104,3087.5989,161,19.1776329192546
2015,Momil,D2.Mayor a 50 ha - hasta 100 ha,33,2246.7164,50,44.934328
2015,Momil,D3.Mayor a 100 ha - hasta 200 ha,13,1966.8611,23,85.5156999999999
2015,Momil,E1.Mayor a 200 ha - hasta 500 ha,4,849.170999999998,4,212.29275
2015,Momil,E4.Mayor a 2000 ha - hasta 5000 ha,1,1920.0,1,1920.0
2016,Momil,"A1.Hasta 0,5 ha",322,52.2998,348,0.150286781609195
2016,Momil,"A2.Mayor a 0,5 ha - hasta 1 ha",53,43.7195,55,0.7949
2016,Momil,"A3.Mayor a 1 ha - hasta 2,5 ha",182,410.2251,199,2.06143266331658
2016,Momil,"A4.Mayor a 2,5 ha - hasta 3 ha",42,129.2556,46,2.80990434782609
2016,Momil,B1.Mayor a 3 ha - hasta 5 ha,177,714.3867,207,3.45114347826087
2016,Momil,B2.Mayor a 5 ha - hasta 10 ha,211,1513.5472,261,5.79903141762452
2016,Momil,C1.Mayor a 10 ha - hasta 20 ha,138,1924.7673,215,8.95240604651161
2016,Momil,D1.Mayor a 20 ha - hasta 50 ha,108,3245.1742,163,19.9090441717791
2016,Momil,D2.Mayor a 50 ha - hasta 100 ha,34,2345.0175,55,42.6366818181818
2016,Momil,D3.Mayor a 100 ha - hasta 200 ha,11,1680.5036,18,93.361311111111
2016,Momil,E1.Mayor a 200 ha - hasta 500 ha,4,821.925499999999,5,164.3851
2016,Momil,E4.Mayor a 2000 ha - hasta 5000 ha,1,1920.0,1,1920.0
2017,Momil,"A1.Hasta 0,5 ha",322,52.2998,348,0.150286781609196
2017,Momil,"A2.Mayor a 0,5 ha - hasta 1 ha",53,43.7195,55,0.7949
2017,Momil,"A3.Mayor a 1 ha - hasta 2,5 ha",183,412.7601,198,2.08464696969697
2017,Momil,"A4.Mayor a 2,5 ha - hasta 3 ha",42,129.2556,46,2.80990434782609
2017,Momil,B1.Mayor a 3 ha - hasta 5 ha,179,722.3132,209,3.45604401913876
2017,Momil,B2.Mayor a 5 ha - hasta 10 ha,210,1519.9654,262,5.80139465648855
2017,Momil,C1.Mayor a 10 ha - hasta 20 ha,138,1929.6506,222,8.69211981981981
2017,Momil,D1.Mayor a 20 ha - hasta 50 ha,108,3242.0986,163,19.8901754601227
2017,Momil,D2.Mayor a 50 ha - hasta 100 ha,34,2340.3814,55,42.5523890909091
2017,Momil,D3.Mayor a 100 ha - hasta 200 ha,11,1680.5036,18,93.361311111111
2017,Momil,E1.Mayor a 200 ha - hasta 500 ha,4,821.925499999999,6,136.987583333333
2017,Momil,E4.Mayor a 2000 ha - hasta 5000 ha,1,1920.0,1,1920.0
2018,Momil,"A1.Hasta 0,5 ha",326,52.8193,355,0.14878676056338
2018,Momil,"A2.Mayor a 0,5 ha - hasta 1 ha",54,44.3543,56,0.792041071428571
2018,Momil,"A3.Mayor a 1 ha - hasta 2,5 ha",189,421.6581,204,2.06695147058824
2018,Momil,"A4.Mayor a 2,5 ha - hasta 3 ha",43,130.1994,47,2.7702
2018,Momil,B1.Mayor a 3 ha - hasta 5 ha,186,762.6971,223,3.420166367713
2018,Momil,B2.Mayor a 5 ha - hasta 10 ha,210,1516.8427,267,5.68105880149812
2018,Momil,C1.Mayor a 10 ha - hasta 20 ha,142,1983.0556,228,8.69761228070174
2018,Momil,D1.Mayor a 20 ha - hasta 50 ha,109,3285.1048,165,19.909726060606
2018,Momil,D2.Mayor a 50 ha - hasta 100 ha,34,2297.7571,44,52.2217522727273
2018,Momil,D3.Mayor a 100 ha - hasta 200 ha,10,1584.1052,15,105.607013333333
2018,Momil,E1.Mayor a 200 ha - hasta 500 ha,4,821.925499999999,6,136.987583333333
2018,Momil,E4.Mayor a 2000 ha - hasta 5000 ha,1,1920.0,1,1920.0
2019,Momil,"A1.Hasta 0,5 ha",328,53.0615,359,0.147803621169916
2019,Momil,"A2.Mayor a 0,5 ha - hasta 1 ha",55,62.3543,58,1.07507413793103
2019,Momil,"A3.Mayor a 1 ha - hasta 2,5 ha",187,416.4722,203,2.05158719211823
2019,Momil,"A4.Mayor a 2,5 ha - hasta 3 ha",51,147.7485,55,2.68633636363636
2019,Momil,B1.Mayor a 3 ha - hasta 5 ha,187,770.1825,235,3.27737234042553
2019,Momil,B2.Mayor a 5 ha - hasta 10 ha,213,1526.7555,271,5.63378413284132
2019,Momil,C1.Mayor a 10 ha - hasta 20 ha,143,1998.7366,228,8.76638859649121
2019,Momil,D1.Mayor a 20 ha - hasta 50 ha,105,3085.5612,169,18.2577585798816
2019,Momil,D2.Mayor a 50 ha - hasta 100 ha,35,2318.1025,45,51.5133888888889
2019,Momil,D3.Mayor a 100 ha - hasta 200 ha,10,1584.1052,15,105.607013333333
